State Name,UVP0,UVP1,readPage,Pok,SMBAlert,Vmain,UVPbitNoPage
358,1,0,01,(3- 3.6),(3- 3.6),(11.8- 12.6),0
359,1,0,01,(3- 3.6),(-0.1- 1),(11.8- 12.6),0
360,1,1,01,(3- 3.6),(-0.1- 1),(11.8- 12.6),1
361,1,1,00,(3- 3.6),(-0.1- 1),(11.8- 12.6),1
362,1,0,00,(3- 3.6),(-0.1- 1),(11.8- 12.6),1
363,1,0,00,(3- 3.6),(3- 3.6),(11.8- 12.6),1
364,1,1,00,(3- 3.6),(3- 3.6),(11.8- 12.6),1
365,0,1,00,(3- 3.6),(3- 3.6),(11.8- 12.6),0
366,0,1,00,(3- 3.6),(3- 3.6),(11.8- 12.6),0
367,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
368,0,1,00,(3- 3.6),(-0.1- 1),(11.8- 12.6),0
369,0,1,00,(3- 3.6),(-0.1- 1),(11.8- 12.6),0
370,1,1,00,(3- 3.6),(-0.1- 1),(11.8- 12.6),1
371,1,0,00,(3- 3.6),(3- 3.6),(11.8- 12.6),1
